ID #,TITLE,DESCRIPTION,LOCATION,DISTRICT,LATITUDE,LONGITUDE
CF-012925-1,Sun Ray Branch Library Renovation and Addition,"This proposal defines a plan to upgrade the Sun Ray Library to 21st century library standards. The result will be an energy-efficient and more welcoming building with a new service delivery plan. The upgrade will create more flexible and multi-purpose spaces for individual and group learning and community gatherings; be adaptable to varied and emerging technologies; take advantage of existing technology to improve patron self-service and add operating efficiency for staff; create a more welcoming building entry and better sight lines throughout the library; enhance the environment for teens and expand their opportunities to explore new media literacy tools; improve the unique environment for adults; create a reading garden for outside reading and activities, with trees and native plants; and improve energy efficiency.",2105 Wilson Avenue 55119,1,,
SU-552383-1,Lafayette Bridge Replacement,"The Minnesota Department of Transportation has scheduled to replace the existing Lafayette Bridge over the Mississippi River between Plato Boulevard and East Seventh Street in St. Paul.  As part of the overall project, improvements will also be made to the north and south approaches to the bridge to accommodate for it's design and increase safety.  A bicycle/pedestrian facility will also be integrated into the new bridge and approaches.  According to Mn/DOT policy, certain items being designed and constructed as part of the new bridge require local match funds.  The total project cost is currently estimated at $200,000,000.  The anticipated local match will be $4,000,000.  The project is currently scheduled to be let in October of 2010 with projected completion in 2014.",Lafayette Bridge (T.H 52) - Plato to East Seventh,"3, 4, 5, 17",,
SU-142282,Fairview Avenue Reconstruction - Randolph to St. Clair,"Grade and pave existing older paved street with bituminous pavement.  Other work to include constructing concrete curb and gutter, driveway aprons, outwalks, pedestrian ramps, storm sewer system improvements, grade and sod boulevards, install new street lighting system and plant boulevard tress.",Fairview Avenue from Randolph Avenue to St. Clair Avenue,14,,
SU-551111,Bicycle Route Connection,"This proposal connects two designated bicycle routes- Minnehaha Avenue and Marshall Avenue. From Minnehaha south to University on Pascal, bike route signs would be installed. From University south to St. Anthony, bike route signs would be installed and graphics painted on the bike lanes that already exist. The Pascal Bridge over I-94 would be restriped for one through traffic auto lane in each direction, a center left turn lane for cars, and bike lanes on each side. Bike route signs would be installed between Concordia and Marshall.",Pascal St. between Minnehaha Ave. and Marshall Ave,"11, 13",,
CF-082702,OXFORD COMMUNITY CENTER MULTI USE /SOCCER FIELD,Construct artificial turf soccer/multi-purpose field at Oxford Community Center.,Lexington Pkwy and Marshall Avenue,8,,
RE-6603343-2,Payne - 7th Street - 8-80 Vitality Funds,"Based on the work of Gil Penalosa, an internationally renowned urban designer, this fund will allow the building of bold and vibrant places across the City of Saint Paul.  The 8-80 Vitality Fund will build on the momentum of recent investments such as Rebuild Saint Paul and the Green Line.  An 8-80 city works for people aged 8 and aged 80, by providing streets and public spaces that create vital and welcoming neighborhoods.

Investments include:
$8M - Palace Theatre renovations to match State bonding
$8M - Jackson Street reconstruction and phase 1 of downtown bike loop
$13.2M - Grand Rounds, including street reconstruction and bike lanes
$2M - Dickerman Park, developing green spaces on the Green Line
$1.8M - Optical fiber infrastructure to provide high speed citywide network connectivity
$9.5M - Street Reconstruction, including 8-80 streets and public spaces",Payne and 7th Street intersection at Bruce Ventro,4,,
SU-550804-1,Phalen Boulevard - I35E to Johnson Parkway,"Acquire right-of-way, complete remediation of contaminated soils and complete design and construction of Phalen Boulevard between I35E and Johnson Parkway as per adopted Final Environmental Impact Statement.",I35E  to Johnson Parkway,"2, 4, 5, 6, 7",,
SU-101896,Victoria Street Reconstruction-Maryland to Arlington,"Grade and pave existing older paved street with bituminous pavement. Other work includes: construct concrete curb and gutter, driveway aprons, outwalks, storm sewer system, pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.",Victoria Street from Maryland to Arlington,10,,
SU-172082,Wall Street Lights,"Installation of Globe Style Lighting on the southerly one half of the east side of Wall Street between Fourth Street and Kellogg Boulevard, the southerly one half of the west side of Broadway Street between Fourth Street and Kellogg Boulevard, and the north side of Kellogg Boulevard between Wall Street and Broadway Street.",Wall Street / Kellogg Blvd. / Broadway (surrounding the Great Northern Building),17,,
CF-553302,Central Library Modifications,"This proposal is to modify and upgrade certain areas in the Central Library. The circulation area will be significantly changed to reduce two public service points to one; add self-check-in technology; maximize natural lighting; and create a more welcoming environment. The large fortress-like reference desks will be eliminated in the Nicholson and Mississippi Rooms. The number of public computers will be increased and they will be moved from the Nicholson to the Mississippi Room as will services such as faxing, scanning, printing, and notary. Individual study rooms will be added to the Mississippi Room.",Saint Paul Central Library 90 W 4th Street,17,,
SU-552302,Fairview Avenue Reconstruction - St. Clair to Summit,"Grade and pave existing older paved street with bituminous pavement.  Other work includes: construct concrete curb and gutter, driveway aprons, outwalks, pedestrian ramps, storm sewer system improvements, grade and sod boulevards, install a new street lighting system and plant trees.",Fairview Avenue from St. Clair Avenue to Summit Avenue,"13, 14",,
SU-6600816-29,Cretin/Goodrich RSVP,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Cretin/Goodrich RSVP,14,,
SU-061157-1,Maryland Avenue Bridge over BN RR Bridges 6599 and 6600,Redeck the existing bridge.,Maryland Avenue just west of I35E,"5, 6",,
SU-071902-1,Pierce Butler East Extension (Phase I),To provide funding for the purchase of necessary right of way and to design the extension of the Pierce Butler Route from Grotto (about two blocks west of Dale Street) to Phalen Boulevard at I-35E.  The new road alignment would generally run south of and parallel to the Burlington Northern Santa Fe Railroad.,Pierce Butler Route from Grotto to Phalen Blvd.,7,,
SU-6602231-15,Madison/Benson RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Madison/Benson RSVP,15,,
