VOTE TABULATION DISTRICT ID ,PRECINCT NAME,PRECINCT NUMBER ,MUNICIPALITY OR UNORGANIZED TERRITORY,COUNTY,COUNTY NUMBER,US CONGRESSIONAL DISTRICT,MN SENATE DISTRICT,MN LEGISLATIVE DISTRICT,COUNTY COMMISSIONER DISTRICT,JUDICIAL DISTRICT,SOIL AND WATER CONSERVATION DISTRICT,WARD,VOTE TABULATING SYSTEM,VOTE TABULATING EQUIPMENT USED FOR PRECINCT,MAIL BALLOTING,PRE-REGISTRATIONS,ELECTION DAY REGISTRATIONS,IN-PERSON VOTERS, ABSENTEE BALLOTS,FEDERAL OFFICES ABSENTEE BALLOTS ,TOTAL VOTES CAST,US SENATOR INDEPENDENCE PARTY VOTES,US SENATOR REPUBLICAN PARTY VOTES,US SENATOR DFL PARTY VOTES,US SENATOR LIBERTARIAN PARTY VOTES,US SENATOR WRITE IN VOTES,US SENATOR TOTAL VOTES,US REPRESENTATIVE INDEPENDENCE PARTY VOTES,US REPRESENTATIVE REPUBLICAN PARTY VOTES,US REPRESENTATIVE DEMOCRATIC-FARMER-LABOR PARTY VOTES,US REPRESENTATIVE WRITE IN VOTES,US REPRESENTATIVE TOTAL VOTES,MN REPRESENTATIVE INDEPENDENCE PARTY VOTES,MN REPRESENTATIVE REPUBLICAN PARTY VOTES,MN REPRESENTATIVE DEMOCRATIC-FARMER-LABOR PARTY VOTES,MN REPRESENTATIVE WRITE IN VOTES,MN REPRESENTATIVE TOTAL VOTES,MN GOVERNOR INDEPENDENCE PARTY VOTES,MN GOVERNOR REPUBLICAN PARTY VOTES,MN GOVERNOR DFL PARTY VOTES,MN GOVERNOR LIBERTARIAN PARTY VOTES,MN GOVERNOR GRASSROOTS - LEGALIZE CANNABIS PARTY VOTES,MN GOVERNOR WRITE IN VOTES,MN GOVERNOR TOTAL VOTES,MN SECRETARY OF STATE INDEPENDENCE PARTY VOTES,MN SECRETARY OF STATE REPUBLICAN PARTY VOTES,MN SECRETARY OF STATE DFL PARTY VOTES,MN SECRETARY OF STATE LIBERTARIAN PARTY VOTES,MN SECRETARY OF STATE WRITE IN VOTES,MN SECRETARY OF STATE TOTAL VOTES,MN STATE AUDITOR INDEPENDENCE PARTY VOTES,MN STATE AUDITOR REPUBLICAN PARTY CANDIDATE VOTES,MN STATE AUDITOR DFL PARTY VOTES,MN STATE AUDITOR LIBERTARIAN PARTY VOTES,MN STATE AUDITOR GRASSROOTS - LEGALIZE CANNABIS PARTY VOTES,MN STATE AUDITOR WRITE IN VOTES,MN STATE AUDITOR TOTAL VOTES,MN ATTORNEY GENERAL INDEPENDENCE PARTY VOTES,MN ATTORNEY GENERAL REPUBLICAN PARTY VOTES,MN ATTORNEY GENERAL DFL PARTY VOTES,MN ATTORNEY GENERAL GREEN PARTY VOTES,MN ATTORNEY GENERAL LIBERTARIAN PARTY VOTES,MN ATTORNEY GENERAL LEGAL MARIJUANA NOW PARTY VOTES,MN ATTORNEY GENERAL WRITE IN VOTES,MN ATTORNEY GENERAL TOTAL VOTES
271230540,Saint Paul W-1 P-1,540,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,1087,71,696,68,0,764,12,120,624,5,1,762,35,105,608,2,750,0,115,619,1,735,19,129,597,6,10,0,761,30,119,562,16,0,727,23,97,577,12,18,0,727,17,97,520,72,8,23,0,737
271230550,Saint Paul W-1 P-2,550,St. Paul,Ramsey,62,4,65,65A,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,1991,177,1032,85,1,1118,17,168,918,10,2,1115,67,143,884,4,1098,0,166,751,2,1078,38,164,871,9,26,2,1110,59,159,841,18,3,1080,42,137,829,17,48,1,1074,31,134,755,101,17,43,0,1081
271230560,Saint Paul W-1 P-3,560,St. Paul,Ramsey,62,4,65,65A,3,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,1696,114,751,50,0,801,27,97,658,16,0,798,66,88,618,0,772,0,97,545,1,749,35,96,619,7,31,1,789,59,94,576,21,0,750,42,84,566,12,47,0,751,30,71,538,75,20,31,0,765
271230570,Saint Paul W-1 P-4,570,St. Paul,Ramsey,62,4,65,65A,3,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,1265,81,529,45,0,574,13,65,480,8,1,567,32,60,463,0,555,0,69,391,1,539,14,67,468,4,11,0,564,28,75,421,17,1,542,18,63,430,8,28,0,547,10,57,387,57,12,25,0,548
271230580,Saint Paul W-1 P-5,580,St. Paul,Ramsey,62,4,65,65A,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,1273,68,572,59,0,631,9,42,568,5,0,624,24,41,545,1,611,0,43,458,2,607,12,51,538,5,14,1,621,23,50,507,11,2,593,11,43,496,13,30,0,593,8,35,470,51,11,21,0,596
271230590,Saint Paul W-1 P-6,590,St. Paul,Ramsey,62,4,65,65A,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,2586,212,1235,143,0,1378,24,160,1172,14,2,1372,59,154,1132,0,1345,0,142,971,0,1325,36,153,1123,12,38,0,1362,58,155,1068,37,0,1318,47,123,1040,21,81,0,1312,39,133,947,137,20,55,0,1331
271230600,Saint Paul W-1 P-7,600,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,1381,140,904,75,1,980,8,167,784,16,1,976,48,143,771,0,962,0,167,776,3,946,25,168,755,7,20,1,976,32,158,723,26,1,940,27,140,722,21,30,1,941,13,142,676,81,13,31,0,956
271230610,Saint Paul W-1 P-8,610,St. Paul,Ramsey,62,4,65,65A,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,2109,235,1080,128,0,1208,20,149,1024,10,0,1203,68,131,983,3,1185,0,148,887,2,1152,25,145,1004,13,14,0,1201,52,139,939,28,3,1161,52,123,912,16,47,1,1151,18,119,881,88,18,49,0,1173
271230620,Saint Paul W-1 P-9,620,St. Paul,Ramsey,62,4,65,65A,3,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,2210,88,709,63,1,773,22,127,611,11,0,771,54,114,570,4,742,0,140,502,2,730,22,125,584,8,24,0,763,33,133,546,16,5,733,42,110,532,11,35,4,734,17,104,499,57,18,35,5,735
271230630,Saint Paul W-1 P-10,630,St. Paul,Ramsey,62,4,65,65B,3,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,450,19,135,17,0,152,5,27,116,2,0,150,15,26,102,0,143,0,34,101,3,138,7,28,105,1,5,0,146,9,27,100,7,0,143,10,24,95,3,8,1,141,6,25,86,7,3,9,0,136
